Код раздела,Наименование раздела на русском языке,Наименование раздела на латинском языке,Синоним названия раздела на латинском языке,Код,Наименование на русском языке,Наименование на латинском языке,Обозначение фармакопеи,Дата начала действия,Вид акта,Номер акта,Дата акта,Дата окончания действия,Вид акта,Номер акта,Дата акта
35,Ель обыкновенная,-,,35210,Ели обыкновенной шишки,Piceae abietis strobilifructus,"4,05",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
36,Женьшень настоящий,-,,36070,Женьшеня настоящего корни,Panacis ginseng radicesfructus,"02,04,05",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
37,Жостер слабительный,-,,37110,Жостера слабительного плоды,Rhamni catharticae fructusfructus,4,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
38,Зверобой,-,,38170,Зверобоя трава,Hyperici herbafructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
39,Змеевик (Горец змеиный),-,,39040,Змеевика корневища (Горца змеиного корневища),Bistortae rhizomata (Polygoni bistortae rhizoma)fructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
40,Золототысячник,-,,40170,Золототысячника трава,Centaurii herbafructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
41,Ива,-,,41030,Ивы кора,Salicis cortexfructus,2,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
42,Имбирь,-,,42040,Имбиря корневища,Zingiberis rhizomatafructus,2,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
43,Исландский мох,-,,43080,Исландского мха слоевища,Lichen islandicus (cetrariae thalli)fructus,"02,03,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
44,Калина обыкновенная,-,,44030,Калины обыкновенной кора,Viburni  opuli cortexfructus,"02,04,05",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
45,Каштан конский обыкновенный,-,,45140,Каштана конского обыкновенного семена,Aesculi hippocastani semenfructus,7,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
46,Кермек Гмелина,-,,46050,Кермека Гмелина корневища и корни,Limonium gmelinii rhizome and rootfructus,3,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
47,Кориандр посевной,-,,47110,Кориандра посевного плоды,Coriandri sativi fructusfructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
48,Крапива двудомная,-,,48090,Крапивы  двудомной листья,Urticae dioicaе foliafructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
49,Крушина ольховидная,-,,49030,Крушины ольховидной кора,Frangulae alni cortexfructus,4,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
50,Кукуруза,-,,50160,Кукурузы столбики с рыльцами,Zeae maydis styli cum stigmatisfructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
51,Лабазник вязолистный,-,,51170,Лабазника вязолистного трава,Filipendulae ulmariae herbafructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
52,Лаванда,-,,52180,Лаванды цветки,Lavandulae floresfructus,2,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
53,Ламинария  (морская капуста),-,,53080,Ламинарии слоевища (морская капуста),Thalli laminariaefructus,4,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
54,Лапчатка прямостоячая,-,,54040,Лапчатки прямостоячей корневища,Potentillae erectae  rhisomatafructus,"02,04,05",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
55,Левзея сафлоровидная,-,,55060,Левзеи сафлоровидной корневища с корнями,Rhapontici carthamoides rhizomata cum radicibusfructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
56,Лимонник китайский,-,,56110,Лимонника китайского плоды,Schizandrae chinensidis fructusfructus,4,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
58,Липа,-,,58180,Липы цветки,Tiliae floresfructus,"02,03,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
59,Лен посевной,-,,59140,Льна посевного семена,Lini usitatissimi seminafructus,"02,03,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
60,Любисток,-,,60070,Любистка корни,Levistici radicesfructus,2,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
61,Маклейя,-,,61090,Маклейи листья,Macleaya foliafructus,2,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
62,Марена ,-,,62050,Марены корневища и корни,Rubiae rhizomata  et radicesfructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
63,Мать-и-мачеха обыкновенная,-,,63090,Мать-и-мачехи обыкновенной листья,Tussilaginis farfarae foliafructus,"02,04,05",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
64,Мелисса лекарственная,-,,64090,Мелиссы лекарственной листья,Melissae  officinalis foliafructus,"2,05",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
65,Многоколосник морщинистый,-,,65170,Многоколосника морщинистого трава,Agastache rugosae herbafructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
66,Можжевельник обыкновенный,-,,66110,Можжевельника обыкновенного плоды,Juniperi communis fructusfructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
67,Молочай джунгарский,-,,67190,Молочай джунгарский,Euphorbia soongaricae Boss.herbafructus,3,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
68,Мох исландский,-,,68080,Мох исландского слоевища,Lichen Islandica (Cetrariae thalli)fructus,2,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
69,Мята перечная,-,,69090,Мяты перечной листья,Menthae piperitae foliafructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
70,Наперстянка шерстистая,-,,70090,Наперстянки листья,Digitalis foliafructus,2,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
71,Ноготки лекарственные (Календула),-,,71180,Ноготков лекарственных  цветки (Календулы цветки),Calendulae offinalis floresfructus,"02,04,05",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
72,Облепиха крушиновидная,-,,72112,Облепихи крушиновидной плоды свежие,"Hippopheae rhamnoides fructus recens (Sea buckthorn fruit, fresh)fructus",2,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
73,Одуванчик изогнутый,-,,73070,Одуванчика лекарственного корни,Taraxaci officinalis radicesfructus,"02,04,05",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
74,Ольха серая,-,,74090,Ольхи серой листья,Alni incanae foliafructus,2,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
75,Ольха,-,,75110,Ольхи соплодия,Alni fructusfructus,"4,05",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
76,Ольха черная,-,,76090,Ольхи черной листья,Alni glutinosae foliafructus,2,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
77,Ортосифон тычиночный,-,,77090,Ортосифона тычиночного листья,Orthosiphonis staminei foliafructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
78,Папоротник мужской,-,,78040,Папоротника мужского корневища,Filicis maris rhizomafructus,"03,04,05",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
79,Пассифлора инкарнатная,-,,79170,Пассифлоры инкарнатной трава,PassifIorae incarnatae herbafructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
80,Пастушья сумка обыкновенная,-,,80170,Пастушьей сумки обыкновенной трава,Capsellae bursae pastoris herbafructus,"02,04,05",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
81,Первоцвет весенний,-,,81070,Первоцвета весеннего корни,Primulae veris  rootfructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
82,Перец,-,,82110,Перца плоды,Capsici anni fructusfructus,"3,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
83,Пижма обыкновенная,-,,83180,Пижмы обыкновенной цветки ,Tanaceti vulgaris floresfructus,"02,04,05",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
84,Пион уклоняющийся,-,,84050,Пиона уклоняющегося корневища и корни,Paeoniae anomalae rhizome e radixfructus,"02,04,05",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
85,Подорожник большой,-,,85090,Подорожника большого листья,Plantaginis majoris foliafructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
86,Подорожник ланцетный,-,,86090,Подорожника ланцетного листья ,Plantaginis lanceolatae folia fructus,7,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
87,Полынь горькая,-,,87090,Полыни горькой листья,Artemisiae absinthii foliafructus,"03,04,05,99",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
88,Полынь цитварная,-,,88180,Полыни цитварной цветки,Cinae floresfructus,4,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
89,Полынь беловатая,-,,89190,Полынь беловатая,Artemisia leucodes Schrenk herbafructus,3,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
90,Полынь гладкая,-,,90190,Полынь гладкая,Artemisia glabella Kar. Et Kir. Herbafructus,3,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
92,Пустырник сердечный,-,,92090,Пустырника листья,Leonuri foliafructus,"02,04,05",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
93,Расторопша пятнистая,-,,93110,Расторопши пятнистой плоды,Silybi mariani fructusfructus,4,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
94,Ревень дланевидный,-,,94070,Ревеня дланевидного корни,Rhei palmati radicesfructus,"02,03,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
95,Репешок,-,,95170,Репешка трава,Agrimonyherbafructus,"2,05",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
